denominazione,provincia,codice_istat,popolazione,url_albo,piattaforma,note
Partinico,PA,082054,31401,https://partinico.soluzionipa.it/openweb/albo/albo_pretorio_full.php,portalepa,trovato via ricerca web
Termini Imerese,PA,082070,26201,https://termini-imerese.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio,jCityGov,trovato via ricerca web
Castellammare del Golfo,TP,081005,14603,https://www.comune.castellammare.tp.it/sito_tematico/albo-pretorio/,portalepa,trovato via ricerca web
Cefalù,PA,082027,14354,https://comune.cefalu.pa.it/storico-albo-pretorio/,portalepa,trovato via ricerca web
Campobello di Mazara,TP,081004,11580,https://campobello.soluzionipa.it/openweb/albo/albo_pretorio_full.php,portalepa,trovato via ricerca web
Ficarazzi,PA,082035,11484,https://comune.ficarazzi.pa.it/sito_tematico/albo-pretorio/,ComuneWeb,trovato via ricerca web
Corleone,PA,082034,11286,https://comune.corleone.pa.it/albo-pretorio-on-line/,portalepa,trovato via ricerca web
Belmonte Mezzagno,PA,082009,11149,https://www.comune.belmonte.pa.it/belmonte/zf/index.php/uffici/index/detail/id/17,Halley,trovato via ricerca web
Capaci,PA,082020,11030,https://servizi.comune.capaci.pa.it/openweb/albo/albo_pretorio_tipologia_new.php,portalepa,trovato via ricerca web
Casteldaccia,PA,082023,10884,https://www.servizipubblicaamministrazione.it/servizi/saturnweb/Home.aspx?Ce=cstldcc915,SaturnWeb,trovato via ricerca web
Partanna,TP,081015,10854,https://www.comune.partanna.tp.it/amministrazione/uffici/ufficio_10.html,portalepa,trovato via ricerca web
Santa Flavia,PA,082067,10751,http://www.albopretorionline.info/santaflavia/,ComuneWeb,trovato via ricerca web
Trabia,PA,082073,10360,https://servizi.comune.trabia.pa.it/Content/landingContent/?AlboPretorio=,ComuneWeb,trovato via ricerca web
Altofonte,PA,082005,10266,https://www.comune.altofonte.pa.it/albo-pretorio/,ComuneWeb,trovato via ricerca web
Castelbuono,PA,082022,9161,https://www.comuneweb.it/egov/Castelbuono/Albo-Pretorio/,ComuneWeb,trovato via ricerca web
San Giuseppe Jato,PA,082064,8511,https://www.comune.sangiuseppejato.pa.it/EG0/EGHOMEPAGE.HBL?ss=1&F=MC09&en=eg540&freeze=1&P=,custom,trovato via ricerca web
Caccamo,PA,082014,8295,https://cloud.urbi.it/urbi/progs/urp/ur1ME001.sto?DB_NAME=n201838,URBI,trovato via ricerca web
Petrosino,TP,081024,7760,https://comune.petrosino.tp.it/,custom,trovato via ricerca web
Pantelleria,TP,081014,7493,https://www.comune.pantelleria.tp.it/,custom,trovato via ricerca web
Altavilla Milicia,PA,082004,7429,https://servizionline.hspromilaprod.hypersicapp.net/cmsaltavillamilicia/portale/albopretorio/albopretorioconsultazione.aspx,HyperSIC,trovato via ricerca web
Borgetto,PA,082013,7021,https://www.comune.borgetto.pa.it/servizio/albo-pretorio/,ComuneWeb,trovato via ricerca web
Lercara Friddi,PA,082045,6935,https://servizi.comune.lercarafriddi.pa.it/openweb/albo/albo_pretorio.php,portalepa,trovato via ricerca web
Campofelice di Roccella,PA,082017,6918,https://rocce lla.trasparenza-valutazione-merito.it/web/trasparenza/dettaglio-albo-pretorio,jCityGov,trovato via ricerca web
