denominazione,provincia,codice_istat,popolazione
Palermo,PA,082053,657651
Catania,CT,087015,293902
Messina,ME,083048,243262
Siracusa,SR,089017,118385
Marsala,TP,081011,80218
Gela,CL,085007,75668
Ragusa,RG,088009,69794
Caltanissetta,CL,085004,61711
Vittoria,RG,088012,61006
Trapani,TP,081021,58438
Agrigento,AG,084001,58323
Bagheria,PA,082006,54257
Modica,RG,088006,53959
Acireale,CT,087004,51456
Mazara del Vallo,TP,081012,49995
Paternò,CT,087033,47870
Misterbianco,CT,087029,47356
Alcamo,TP,081001,45314
Barcellona Pozzo di Gotto,ME,083005,41632
Sciacca,AG,084041,40899
Licata,AG,084021,38125
Caltagirone,CT,087011,38123
Monreale,PA,082049,38018
Augusta,SR,089001,36169
Carini,PA,082021,35681
Adrano,CT,087006,35549
Canicattì,AG,084011,34863
Favara,AG,084017,32972
Milazzo,ME,083049,32146
Castelvetrano,TP,081006,31824
Partinico,PA,082054,31401
Avola,SR,089002,31328
Comiso,RG,088003,30214
Mascalucia,CT,087024,29984
Aci Catena,CT,087003,28749
Giarre,CT,087017,28114
Erice,TP,081008,28012
Niscemi,CL,085013,27975
Enna,EN,086009,27894
Misilmeri,PA,082048,27570
Gravina di Catania,CT,087019,26543
Belpasso,CT,087007,26378
Termini Imerese,PA,082070,26201
Scicli,RG,088011,25922
Lentini,SR,089011,24484
Noto,SR,089013,23704
Biancavilla,CT,087008,23703
Palma di Montechiaro,AG,084027,23643
San Cataldo,CL,085016,23424
Floridia,SR,089009,22685
Piazza Armerina,EN,086014,22196
Pachino,SR,089014,22068
San Giovanni la Punta,CT,087041,22049
Rosolini,SR,089016,21526
Tremestieri Etneo,CT,087051,21032
Villabate,PA,082079,19819
Ribera,AG,084033,19302
Bronte,CT,087009,19234
Pozzallo,RG,088008,18929
Aci Castello,CT,087002,18122
Carlentini,SR,089006,17958
Aci Sant'Antonio,CT,087005,17270
Scordia,CT,087049,17185
Porto Empedocle,AG,084028,16841
Palagonia,CT,087032,16540
Ispica,RG,088005,15122
Castellammare del Golfo,TP,081005,14603
Cefalù,PA,082027,14354
Nicosia,EN,086012,14272
Riposto,CT,087039,14181
Barrafranca,EN,086004,13977
Leonforte,EN,086011,13878
Mascali,CT,087023,13792
Patti,ME,083066,13325
Capo d'Orlando,ME,083009,13260
Melilli,SR,089012,13076
Grammichele,CT,087018,13064
Francofonte,SR,089010,12923
Pedara,CT,087034,12896
Raffadali,AG,084030,12837
Sant'Agata di Militello,ME,083084,12803
Menfi,AG,084023,12711
Mazzarino,CL,085009,12333
Priolo Gargallo,SR,089021,12167
Ravanusa,AG,084031,12128
Cinisi,PA,082031,12031
Terrasini,PA,082071,11985
Valderice,TP,081022,11951
Riesi,CL,085015,11814
Lipari,ME,083041,11642
Campobello di Mazara,TP,081004,11580
San Gregorio di Catania,CT,087042,11497
Paceco,TP,081013,11487
Ficarazzi,PA,082035,11484
