slug,denominazione,codice_istat,provincia,modulo,piattaforma_tecnica,base_url,qs_base,ente_mittente,skip_ssl,stato,note
agrigento,Comune di Agrigento,084001,,agrigento,ASP.NET DevExpress,https://servizionline.comune.agrigento.it,,,,escluso_default,Playwright richiesto
anac,ANAC SmartCIG,,,anac,ANAC SmartCIG (CSV),,,,,escluso_default,"Download CSV ~400MB, usare --anac-file"
catania,Comune di Catania,087015,,catania,URBI/Maggioli,https://servizionline.comune.catania.it/urbi/progs/urp/ur1ME001.sto,DB_NAME=wt00041571&w3cbt=S,COMUNE DI CATANIA,,attivo,
acibonaccorsi,Comune di Aci Bonaccorsi,087001,,halley,Halley EG,https://servizi.comune.acibonaccorsi.ct.it,,,,attivo,
adrano,Comune di Adrano,087006,,halley,Halley EG,https://servizionline.comune.adrano.ct.it,,,,attivo,
alessandriadellarocca,Comune di Alessandria della Rocca,084002,,halley,Halley EG,https://trasparenza.comune.alessandriadellarocca.ag.it,,,,attivo,
avola,Comune di Avola,089002,,halley,Halley EG,https://servizi.comune.avola.sr.it,,,,attivo,
barcellonapg,Comune di Barcellona Pozzo di Gotto,083005,,halley,Halley EG,https://servizi.comune.barcellonapozzodigotto.me.it/barcellona,,,,attivo,
baucina,Comune di Baucina,082008,,halley,Halley EG,https://comune.baucina.pa.it,,,,attivo,
bompensiere,Comune di Bompensiere,085002,,halley,Halley EG,https://servizionline.comune.bompensiere.cl.it,,,,attivo,
brolo,Comune di Brolo,083007,,halley,Halley EG,https://servizi.comune.brolo.me.it,,,,attivo,
calatafimisegesta,Comune di Calatafimi-Segesta,081003,,halley,Halley EG,https://servizi.comune.calatafimisegesta.tp.it,,,,attivo,
caltavuturo,Comune di Caltavuturo,082015,,halley,Halley EG,https://trasparenza.comune.caltavuturo.pa.it,,,,attivo,
camastra,Comune di Camastra,084008,,halley,Halley EG,https://trasparenza.comune.camastra.ag.it,,,,attivo,
cammarata,Comune di Cammarata,084009,,halley,Halley EG,https://trasparenza.comune.cammarata.ag.it,,,,attivo,
campofelicediroccella,Comune di Campofelice di Roccella,082017,,halley,Halley EG,https://servizi.comune.campofelicediroccella.pa.it,,,,attivo,
campofranco,Comune di Campofranco,085005,,halley,Halley EG,https://trasparenza.comune.campofranco.cl.it,,,,attivo,
castelbuono,Comune di Castelbuono,082022,,halley,Halley EG,https://servizi.comune.castelbuono.pa.it,,,,attivo,
castellumberto,Comune di Castell'Umberto,083014,,halley,Halley EG,https://servizi.comune.castellumberto.me.it,,,,attivo,
casteltermini,Comune di Casteltermini,084012,,halley,Halley EG,https://trasparenza.comune.casteltermini.ag.it,,,,attivo,
